,response,distributions,probable_topic,topic_probability
79,"['TWITTER_HANDLE', 'teacher', 'either', 'classroom', 'canvas', 'teacher', 'still', 'classroom', 'means', 'schedule', 'assignment', 'asynchronous', 'want', 'time', 'timestamps', 'try', 'authentic', 'possible']","[(0, 0.323889), (1, 0.113531), (2, 0.3375392), (3, 0.17261256), (4, 0.052428216)]",,
80,"['TWITTER_HANDLE', 'record', 'canvas', 'conference', 'TWITTER_HANDLE', 'parent', 'teacher', 'class', 'could', 'share', 'asynchronous', 'audience', 'please', 'TWITTER_HANDLE']","[(0, 0.23976763), (1, 0.14888114), (2, 0.31509247), (3, 0.25740913), (4, 0.03884964)]",,
81,"['edchat', 'gedcommunity', 'traci', 'orleans', 'medical', 'school', 'state', 'university', 'autism', 'program', 'teach', 'asynchronous', 'class', 'canvas']","[(0, 0.2009612), (1, 0.15387583), (2, 0.45859924), (3, 0.11550977), (4, 0.07105394)]",,
82,"['TWITTER_HANDLE', 'TWITTER_HANDLE', 'student', 'class', 'right', 'move', 'online', 'already', 'post', 'video', 'asynchronous', 'teaching', 'host', 'online', 'office', 'hours', 'attendance', 'quiz', 'canvas', 'ensure', 'student', 'watching', 'video', 'engage', 'course']","[(0, 0.36435673), (1, 0.016230468), (2, 0.20866391), (3, 0.16132571), (4, 0.24942319)]",,
83,"['TWITTER_HANDLE', 'derry', 'teaching', 'despite', 'district', 'never', 'asynchronous', 'learning', 'using', 'canvas', 'need', 'source', 'school', 'english', 'journalism', 'teacher']","[(0, 0.3423696), (1, 0.09665113), (2, 0.29502642), (3, 0.14694785), (4, 0.11900505)]",,
84,"['studio', 'simple', 'massive', 'teacher', 'using', 'asynchronous', 'video', 'contentcreation', 'caption', 'support', 'amaze', 'accessibility', 'canvaschat']","[(0, 0.48837367), (1, 0.03169717), (2, 0.31311166), (3, 0.103286624), (4, 0.06353086)]",,
85,"['calling', 'educator', 'higher', 'move', 'content', 'quickly', 'virtual', 'classroom', 'whether', 'asynchronous', 'canvas', 'and/or', 'synchronous', 'learning', 'allow', 'resource', 'here~']","[(0, 0.3548971), (1, 0.028664107), (2, 0.36988866), (3, 0.18909433), (4, 0.057455815)]",,
86,"['english', 'planning', 'university', 'teaching', 'TWITTER_HANDLE', 'online', 'format', 'include', 'synchronous', 'style', 'alongside', 'canvas', 'base', 'asynchronous']","[(0, 0.16247845), (1, 0.02866216), (2, 0.37078008), (3, 0.1891384), (4, 0.24894087)]",,
87,"['TWITTER_HANDLE', 'TWITTER_HANDLE', 'cornell', 'require', 'asynchronous', 'synchronous', 'recommend', 'latter', 'embed', 'within', 'canvas', 'course', 'university', 'administrator', 'normal', 'accident']","[(0, 0.25852823), (1, 0.028665705), (2, 0.37037596), (3, 0.28496745), (4, 0.057462614)]",,
88,"['TWITTER_HANDLE', 'encourage', 'asynchronous', 'everyone', 'access', 'proper', 'environment', 'connectivity', 'using', 'iphone', 'video', 'host', 'stream', 'college', 'capacity', 'canvas', 'screencastomatic']","[(0, 0.31154984), (1, 0.113539115), (2, 0.34984818), (3, 0.17263429), (4, 0.05242856)]",,
